stock,bargainPrice.priceNow,bargainPrice.priceWas,markdown.markdownPercentage,product.title,product.brand,timestamp
1,2.63,3.5,25,AH Sandwich tonijnsalade,AH,2026-01-25 11:49:26
1,3.3,4.4,25,AH Wrap gerookte zalm,AH,2026-01-25 11:49:26
1,2.63,3.5,25,AH Volkoren sandwich old amsterdam,AH,2026-01-25 11:49:26
1,4.42,5.89,25,AH Maaltijdsalade Japanse noodles roerei,AH,2026-01-25 11:49:26
6,0.95,1.59,40,La Tua Farina Mix voor pizza en focaccia,La Tua Farina,2026-01-25 11:49:26
6,1.12,1.49,25,La Tua Farina Bloem voor pizzadeeg,La Tua Farina,2026-01-25 11:49:26
2,3.89,6.49,40,Wahid Halal kipfilet blokjes,Wahid,2026-01-25 11:49:26
2,3.29,5.49,40,Wahid Halal kipdijfilet,Wahid,2026-01-25 11:49:26
1,3.59,5.99,40,AH Stoomkip khorma curry,AH,2026-01-25 11:49:26
1,3.89,5.99,35,AH Stoomkip zoet zuur,AH,2026-01-25 11:49:26
5,2.74,3.65,25,AH Scharrel kipkluifjes gemarineerd,AH,2026-01-25 11:49:26
3,3.52,4.69,25,AH Biologisch Kipdrumsticks,AH Biologisch,2026-01-25 11:49:26
3,2.99,3.99,25,AH Rundervink 2 stuks,AH,2026-01-25 11:49:26
3,4.12,5.49,25,AH Runderbraadworst,AH,2026-01-25 11:49:26
2,5.62,7.49,25,AH Scharrel kipborrelhapjes,AH,2026-01-25 11:49:26
1,6.21,8.28,25,AH Rundersteak à la minute smokey,AH,2026-01-25 11:49:26
1,2.47,3.29,25,AH Scharrel kipreepjes Italiaans gebraden,AH,2026-01-25 11:49:26
1,3.52,4.69,25,AH Scharrel kippenpoten 2 stuks,AH,2026-01-25 11:49:26
1,3.97,5.29,25,AH Half-om-half gehakt,AH,2026-01-25 11:49:26
1,2.77,3.69,25,AH Runder hamburger 2 stuks,AH,2026-01-25 11:49:26
1,5.47,7.29,25,AH Biologisch Kipfiletblokjes,AH Biologisch,2026-01-25 11:49:26
1,3.59,4.79,25,AH Biologisch Kipfilet 1 stuk,AH Biologisch,2026-01-25 11:49:26
1,2.99,3.99,25,AH Scharrel kipgehaktballetjes,AH,2026-01-25 11:49:26
1,3.37,4.49,25,AH Biologisch Rundersoepballetjes,AH Biologisch,2026-01-25 11:49:26
1,1.97,3.29,40,Vivera Plantaardige shoarma,Vivera,2026-01-25 11:49:26
3,1.61,2.69,40,Alpro Plantaardige drinkyoghurt mango-passie,Alpro,2026-01-25 11:49:26
1,1.61,2.15,25,AH Kaasschnitzel,AH,2026-01-25 11:49:26
1,1.49,1.99,25,AH Terra Biologische gerookte tofu,AH Terra,2026-01-25 11:49:26
1,1.27,1.69,25,AH Ontbijtspek,AH,2026-01-25 11:49:26
3,0.6,1.99,70,AH Duitse theeworst,AH,2026-01-25 11:49:26
2,2.21,3.69,40,AH Ossenworst,AH,2026-01-25 11:49:26
4,2.02,2.69,25,AH Kipgrillworst,AH,2026-01-25 11:49:26
2,1.49,1.99,25,AH Grillworst kaas,AH,2026-01-25 11:49:26
2,1.49,1.99,25,AH Filet americain minder vet,AH,2026-01-25 11:49:26
1,1.64,2.19,25,AH Achterham flinterdun minder zout,AH,2026-01-25 11:49:26
1,2.24,2.99,25,AH Scharrel kipfilet pittig,AH,2026-01-25 11:49:26
1,2.45,4.09,40,De Zaanse Hoeve Oud 48+ plakken,De Zaanse Hoeve,2026-01-25 11:49:26
2,2.44,3.25,25,Galbani Mozzarella bufala,Galbani,2026-01-25 11:49:26
1,1.34,1.79,25,Galbani Mozzarella,Galbani,2026-01-25 11:49:26
