fetch_timestamp,title,brand,categoryTitle,priceWas,priceNow,markdownPercentage,stock
2026-02-04 20:50:12,AH Excellent Black angus burger,AH Excellent,Vlees,5.49,4.12,25,2
2026-02-04 20:50:12,Warung Surinaamse rotirol met kip,Warung,Vlees,6.39,4.79,25,1
2026-02-04 20:50:12,AH Excellent Entrecôte,AH Excellent,Vlees,14.49,10.87,25,1
2026-02-04 20:50:12,AH Excellent Ossenhaas,AH Excellent,Vlees,10.49,7.87,25,1
2026-02-04 20:50:12,Wahid Halal kipdijfilet,Wahid,Vlees,5.49,4.12,25,1
2026-02-04 20:50:12,AH Greenfields Rundergehakt,AH Greenfields,Vlees,8.49,6.37,25,1
2026-02-04 20:50:12,AH Gerookte knakworsten,AH,Vlees,3.29,2.47,25,5
2026-02-04 20:50:12,Unox Rookworst vegetarisch,Unox,Vlees,4.49,3.37,25,4
2026-02-04 20:50:12,AH Kabeljauwhaasje 2 stuks,AH,Vis,9.99,3.00,70,1
2026-02-04 20:50:12,AH Zalmfilet op huid,AH,Vis,4.88,1.46,70,1
2026-02-04 20:50:12,AH Verse mosselen,AH,Vis,8.99,6.74,25,2
2026-02-04 20:50:12,AH Haring met uitjes,AH,Vis,2.59,1.49,25,1
2026-02-04 20:50:12,Johma Tonijnsalade voordeelpak,Johma,Vis,4.99,3.74,25,1
2026-02-04 20:50:12,AH Chili kaasschnitzel,AH,"Vegetarisch, vegan en plantaardig",2.59,1.94,25,1
2026-02-04 20:50:12,AH Terra Plantaardige barista haver,AH Terra,"Vegetarisch, vegan en plantaardig",1.19,0.89,25,10
2026-02-04 20:50:12,Friesche Vlag Barista haver,Friesche Vlag,"Vegetarisch, vegan en plantaardig",2.69,2.02,25,3
2026-02-04 20:50:12,AH Slagersachterham,AH,Vleeswaren,2.99,0.90,70,1
2026-02-04 20:50:12,AH Geitenkaas bel licht pittig 50+ geraspt,AH,Kaas,2.99,2.24,25,1
2026-02-04 20:50:12,Galbani Mozzarella bufala,Galbani,Kaas,3.25,2.44,25,1
2026-02-04 20:50:12,AH Karnemelk,AH,"Zuivel, eieren",1.19,0.71,40,1
2026-02-04 20:50:12,Natuurfarm de Boed Mais-scharreleieren M,Natuurfarm de Boed,"Zuivel, eieren",2.59,1.94,25,1
2026-02-04 20:50:12,AH Protein drink vanillesmaak,AH,"Zuivel, eieren",1.49,0.45,70,8
2026-02-04 20:50:12,Arla Biologisch halfvolle melk,Arla,"Zuivel, eieren",1.19,0.89,25,2
2026-02-04 20:50:12,AH Protein drink aardbei,AH,"Zuivel, eieren",1.49,1.12,25,1
2026-02-04 20:50:12,Campina Vla slagroom vanille smaak,Campina,"Zuivel, eieren",2.49,1.49,40,2
2026-02-04 20:50:12,Campina Zacht & luchtig vanille smaak,Campina,"Zuivel, eieren",2.49,1.87,25,1
2026-02-04 20:50:12,Campina Zacht en luchtig banaansmaak,Campina,"Zuivel, eieren",2.49,1.87,25,1
2026-02-04 20:50:12,Campina Houdbare halfvolle melk,Campina,"Zuivel, eieren",1.79,1.34,25,1
